Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,net consumption,Asia & Oceania,0.87606,0.92256,0.8853599999999999,0.9299999999999999,0.9476699999999999,0.96162,1.05555,1.13274,1.0044,1.01277,1.0211400000000002,1.04477,0.76805,0.72961,0.75017,0.6854399999999999,0.6205700000000001,0.56407,0.5278,0.52315,0.44200000000000006,0.567,0.657,0.8889999999999999,0.844,0.8890000000000001,1.069,1.345,1.28001,1.8731000000000002,2.2043000000000004,2.6133,3.5490000000000004,4.2284,4.349,4.4402,4.9577,5.26056,5.51093,5.31469,5.289160000000001,5.530597212
Albania,net consumption,Europe,2.9739999999999998,2.987,2.9810000000000003,2.9749999999999996,2.977,3.039,3.027,3.441,3.2050000000000005,3.4310000000000005,1.659,1.7150000000000003,1.443,1.7269999999999996,2.017,2.1520000000000006,2.7900000000000005,2.084,2.1999999999999993,3.4819999999999993,3.68836,3.4897799999999997,4.48556,4.04258,4.0516000000000005,5.127800000000001,3.1604200000000002,3.58068,5.066260000000001,5.429460000000001,4.441449999999999,6.545660000000001,6.78935,7.259919999999999,6.6256900000000005,5.9860500000000005,7.50528,6.119330999999999,6.398259999999999,6.500144999999999,6.65637,7.415870873999998
Algeria,net consumption,Africa,5.915,6.713,7.7330000000000005,8.206999999999999,8.959,9.686000000000002,10.343,11.118999999999998,11.954,12.190000000000001,12.733999999999998,13.034,14.035000000000002,14.038999999999998,14.365,14.474,15.171999999999999,15.365000000000002,16.905,18.491999999999997,19.71552,20.647639999999996,21.62354,23.61164,24.425060000000002,27.516399999999997,26.910519999999998,28.3348,30.49982,28.314999999999998,33.8405,38.13478,42.8675,45.20140000000001,49.20572,53.455439999999996,55.82303999999999,60.283460000000005,62.114030000000014,66.646,63.694902770000006,68.66337918699999
American Samoa,net consumption,Asia & Oceania,0.0651,0.062310000000000004,0.062310000000000004,0.06602999999999999,0.06417,0.07719000000000001,0.06974999999999999,0.07533000000000001,0.08463,0.0837,0.08742,0.09486,0.09486,0.10695,0.11345999999999999,0.11997000000000001,0.12462000000000001,0.13113,0.13671,0.14135999999999999,0.159,0.161,0.168,0.177,0.177,0.178,0.181,0.184,0.187,0.178,0.159,0.155,0.1579,0.158,0.158,0.165,0.173,0.172,0.156,0.156,0.146212562,0.155598053
Angola,net consumption,Africa,0.736,0.737,0.815,0.8320000000000001,0.86,0.8260000000000001,0.8860000000000001,0.8939999999999999,0.893,0.8990000000000001,0.9580000000000001,0.8989999999999999,1.013,1.062,1.0710000000000002,1.0739999999999998,1.085,1.216,1.328,1.106,1.19302,1.35274,1.45868,1.64976,1.5960800000000002,2.06798,2.85054,2.7178,3.64768,4.13154,4.69024,4.88636,5.3350800000000005,7.05006,8.14866,8.23114,9.036511,9.468667,11.384079,13.658591000000001,14.754764000000002,14.560490706
Antarctica,net consumption,Central & South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00186,0.00186,0.00186,0.00186,0.00372,0.00372,0.00372,0.000465,0.000465,0.000465,0.00093,0.00093,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,net consumption,Central & South America,0.05208,0.054869999999999995,0.05766,0.06324,0.06602999999999999,0.06695999999999999,0.07533000000000001,0.07905000000000001,0.07998,0.08184,0.08277,0.08277,0.08277,0.08277,0.08463,0.08556,0.08556,0.08649,0.08835,0.08835,0.141,0.161,0.18,0.198,0.208,0.228,0.243,0.263,0.271,0.308,0.3192,0.3185,0.3105,0.3106,0.3166,0.325355,0.328,0.329142,0.28,0.276,0.262424051,0.28587519
Argentina,net consumption,Central & South America,36.845,35.594,36.003,35.483999999999995,37.739000000000004,37.373,39.01,42.152,42.220000000000006,39.924,37.105,39.655,45.292,48.407,49.934,54.938,57.928,62.78,67.908,70.42999999999999,73.22606,75.3954,72.47154,79.11189999999999,83.65270999999998,88.60101999999999,99.04709,100.1531,103.69982,104.3041,111.17157,113.58528999999999,117.71058,117.67703,123.61153000000002,128.65016199999997,128.457123,125.83871600000002,125.40509620000002,122.79986240000002,122.53488130000001,126.73552849999999
Armenia,net consumption,Eurasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3580000000000005,3.7239999999999998,3.2729999999999992,2.858,3.4859999999999998,4.281000000000001,3.6710000000000003,3.88,3.6914800000000008,3.6946000000000003,3.4412599999999998,3.69574,4.19614,4.163820000000001,4.43884,4.776465,4.557429999999999,4.48976,4.63072,4.9886,5.0430600000000005,5.19162,5.29666,5.32894,5.29114,5.572679999999999,5.353260000000001,5.79847,5.867039999999999,6.132386760000001
Aruba,net consumption,Central & South America,0.0,0.0,0.0,0.0,0.0,0.0,0.25482000000000005,0.27807,0.28644,0.31062,0.29574,0.29667,0.29853,0.46407,0.4929,0.53847,0.56079,0.59055,0.6379800000000001,0.64542,0.652,0.6253,0.6431,0.6508,0.6769999999999999,0.7038,0.7061,0.7251,0.7097,0.7486,0.7394000000000001,0.7238,0.7186,0.7462,0.7533000000000001,0.7678,0.751512,0.763712,0.7397119999999999,0.761712,0.720647339,0.7676192
Australia,net consumption,Asia & Oceania,78.227,81.717,88.35600000000001,89.59100000000001,95.54599999999999,99.889,106.96900000000001,111.64200000000001,120.92099999999999,128.119,135.40400000000002,137.99599999999998,140.1334,143.988,147.502,152.334,156.54566,161.721,172.088,176.177,182.96956,193.37081999999998,199.56076,202.29056,211.34346,200.13729999999998,204.131836,214.773976,214.640056,222.689996,219.107043,225.966257,220.378073,217.88582499999998,232.30308499999998,219.056959,231.72609,238.498993,238.8835944,238.6344388,239.4844909,237.485875
Austria,net consumption,Europe,33.974,33.937,34.472,35.164,37.03399999999999,38.56000000000001,39.02,30.375999999999998,41.956,43.323,44.30499999999999,47.242,47.10699999999999,46.183,46.871,47.94499999999999,49.725,50.321999999999996,51.117999999999995,52.336,53.336420000000004,55.447179999999996,55.91879999999999,57.81084,58.96108,60.53581999999999,62.955479999999994,63.319140000000004,63.38822,60.781,63.02337800000001,63.095032,64.017145,64.531622,63.511077,64.664019,65.552597,66.55470799999999,66.83120600000001,68.6259317,66.7428936,68.53432480000001
Azerbaijan,net consumption,Eurasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.248,14.334,14.594000000000001,13.724,13.614,14.120000000000001,14.76,15.117999999999999,15.406099999999999,15.569919999999998,16.13262,18.30104,19.08472,17.266460000000002,19.432419999999997,16.984019999999997,16.69734,13.481520000000002,13.568220000000002,14.559920000000002,17.79298,18.38626,19.59206,20.27446,20.23628,19.535359999999997,20.28678,21.02663,21.315440000000002,24.618773
Bahrain,net consumption,Middle East,1.44522,1.58007,1.74933,1.9371900000000002,2.178,2.553,2.807,2.829,3.065,3.08,3.039,3.128,3.4659999999999997,3.788,4.113,4.273,4.499,4.6530000000000005,4.967,5.206,12.466,13.148,13.795,14.452,14.501,17.793999999999997,19.346,20.024,19.322000000000003,19.337,20.95356,22.51372,22.6403,23.86184,25.06007,26.17121,26.193649999999998,26.890749999999997,27.446490000000004,31.039,29.46138729,31.378115435999998
